"Sessione";"Data";"Workout";"Settimana";"Durata_min";"Esercizio";"Serie";"Kg";"Reps";"RIR_RPE";"Tipo";"Note"
"mts6hvki-4cl1ig";"2026-09-08T04:37:42.546Z";"PULL";"3";"50";"Pulldown corda";"1";"45";"14";"0";"RIR";""
"mts6hvki-4cl1ig";"2026-09-08T04:37:42.546Z";"PULL";"3";"50";"Pulldown corda";"2";"38.3";"13";"0";"RIR";""
"mts6hvki-4cl1ig";"2026-09-08T04:37:42.546Z";"PULL";"3";"50";"T-bar row machine pacco pesi";"1";"60";"8";"1";"RIR";""
"mts6hvki-4cl1ig";"2026-09-08T04:37:42.546Z";"PULL";"3";"50";"T-bar row machine pacco pesi";"2";"60";"6";"1";"RIR";""
"mts6hvki-4cl1ig";"2026-09-08T04:37:42.546Z";"PULL";"3";"50";"High row machine";"1";"60";"10";"0";"RIR";""
"mts6hvki-4cl1ig";"2026-09-08T04:37:42.546Z";"PULL";"3";"50";"High row machine";"2";"60";"8";"0";"RIR";""
"mts6hvki-4cl1ig";"2026-09-08T04:37:42.546Z";"PULL";"3";"50";"Pulley";"1";"93";"10";"1";"RIR";""
"mts6hvki-4cl1ig";"2026-09-08T04:37:42.546Z";"PULL";"3";"50";"Pulley";"2";"93";"10";"1";"RIR";""
"mts6hvki-4cl1ig";"2026-09-08T04:37:42.546Z";"PULL";"3";"50";"Trazioni assistite";"1";"27";"9";"0";"RIR";""
"mts6hvki-4cl1ig";"2026-09-08T04:37:42.546Z";"PULL";"3";"50";"Curl manubrio singolo alla Scott al contrario";"1";"18";"6";"0";"RIR";""
"mts6hvki-4cl1ig";"2026-09-08T04:37:42.546Z";"PULL";"3";"50";"Curl manubrio singolo alla Scott al contrario";"2";"16";"6";"0";"RIR";""
"mts6hvki-4cl1ig";"2026-09-08T04:37:42.546Z";"PULL";"3";"50";"Hammer curl al cavo";"1";"20";"12";"0";"RIR";""
"mttmdo5g-c1fl4i";"2026-09-09T04:50:06.340Z";"LEGS";"3";"64";"Pendulum squat";"1";"60";"8";"1";"RIR";""
"mttmdo5g-c1fl4i";"2026-09-09T04:50:06.340Z";"LEGS";"3";"64";"Pendulum squat";"2";"70";"5";"2";"RIR";""
"mttmdo5g-c1fl4i";"2026-09-09T04:50:06.340Z";"LEGS";"3";"64";"Belt squat";"1";"60";"12";"4";"RIR";""
"mttmdo5g-c1fl4i";"2026-09-09T04:50:06.340Z";"LEGS";"3";"64";"Belt squat";"2";"60";"12";"4";"RIR";""
"mttmdo5g-c1fl4i";"2026-09-09T04:50:06.340Z";"LEGS";"3";"64";"Leg extension massima inclinazione";"1";"90";"11";"0";"RIR";""
"mttmdo5g-c1fl4i";"2026-09-09T04:50:06.340Z";"LEGS";"3";"64";"Leg extension massima inclinazione";"2";"90";"10";"0";"RIR";""
